window_start,device,pkt_count,total_bytes,outgoing_pkts,incoming_pkts,outgoing_bytes,incoming_bytes,avg_pkt_size,max_pkt_size,min_pkt_size,label
35.0,AmazonEchoGen1,2,152,1,1,76,76,76.0,76,76,AmazonEchoGen1
35.0,AmazonFireTV,2,229,2,0,229,0,114.5,177,52,AmazonFireTV
35.0,AugustDoorbellCam,4,354,2,2,192,162,88.5,140,52,AugustDoorbellCam
35.0,Canary,4,239,2,2,104,135,59.75,83,52,Canary
35.0,ChamberlainmyQGarageOpener,4,160,2,2,80,80,40.0,40,40,ChamberlainmyQGarageOpener
35.0,ChineseWebcam,5,876,3,2,492,384,175.2,192,164,ChineseWebcam
35.0,D-LinkDCS-5009LCamera,2,120,2,0,120,0,60.0,60,60,D-LinkDCS-5009LCamera
35.0,GoogleHome,2,104,1,1,52,52,52.0,52,52,GoogleHome
35.0,GoogleHomeMini,2,104,1,1,52,52,52.0,52,52,GoogleHomeMini
35.0,HarmonKardonInvoke,27,12311,14,13,3415,8896,455.962962962963,1500,40,HarmonKardonInvoke
35.0,LogitechLogiCircle,198,152060,121,77,148056,4004,767.979797979798,1500,52,LogitechLogiCircle
35.0,MiCasaVerdeVeraLite,3,224,2,1,132,92,74.66666666666667,92,40,MiCasaVerdeVeraLite
35.0,PhilipsHUEHub,82,9466,82,0,9466,0,115.4390243902439,519,52,PhilipsHUEHub
35.0,RingDoorbell,20,1153,10,10,602,551,57.65,187,40,RingDoorbell
35.0,Roomba,2,80,1,1,40,40,40.0,40,40,Roomba
35.0,SamsungSmartTV,10,1456,10,0,1456,0,145.6,248,52,SamsungSmartTV
35.0,SamsungSmartThingsHub,81,4557,81,0,4557,0,56.25925925925926,159,52,SamsungSmartThingsHub
40.0,AmazonFireTV,1,177,1,0,177,0,177.0,177,177,AmazonFireTV
40.0,ChineseWebcam,2,356,1,1,164,192,178.0,192,164,ChineseWebcam
40.0,Gateway,3,459,3,0,459,0,153.0,211,63,Gateway
40.0,HarmonKardonInvoke,6,2615,3,3,1521,1094,435.8333333333333,1417,52,HarmonKardonInvoke
40.0,LogitechLogiCircle,196,147124,120,76,143172,3952,750.6326530612245,1500,52,LogitechLogiCircle
40.0,PhilipsHUEHub,64,7599,62,2,7513,86,118.734375,332,40,PhilipsHUEHub
40.0,PiperNV,25,7084,13,12,1550,5534,283.36,1500,40,PiperNV
40.0,SamsungSmartTV,11,1856,11,0,1856,0,168.72727272727272,248,63,SamsungSmartTV
40.0,SamsungSmartThingsHub,58,3246,58,0,3246,0,55.96551724137931,159,52,SamsungSmartThingsHub
40.0,Sonos,2,848,2,0,848,0,424.0,426,422,Sonos
40.0,nVidiaShield,56,19569,30,26,7266,12303,349.44642857142856,1500,40,nVidiaShield
45.0,AugustDoorbellCam,2,168,1,1,84,84,84.0,84,84,AugustDoorbellCam
45.0,BelkinWeMoCrockpot,3,199,3,0,199,0,66.33333333333333,89,52,BelkinWeMoCrockpot
45.0,CasetaWirelessHub,2,152,1,1,76,76,76.0,76,76,CasetaWirelessHub
45.0,ChamberlainmyQGarageOpener,4,160,2,2,80,80,40.0,40,40,ChamberlainmyQGarageOpener
45.0,ChineseWebcam,2,101,1,1,53,48,50.5,53,48,ChineseWebcam
45.0,Gateway,1,84,1,0,84,0,84.0,84,84,Gateway
45.0,LogitechHarmonyHub,1,84,1,0,84,0,84.0,84,84,LogitechHarmonyHub
45.0,LogitechLogiCircle,223,173693,139,84,169325,4368,778.8923766816143,1500,52,LogitechLogiCircle
45.0,PhilipsHUEHub,114,14890,104,10,14183,707,130.6140350877193,1173,40,PhilipsHUEHub
45.0,RingDoorbell,19,1113,10,9,602,511,58.578947368421055,187,40,RingDoorbell
45.0,Roomba,2,80,1,1,40,40,40.0,40,40,Roomba
45.0,SamsungSmartTV,6,1030,6,0,1030,0,171.66666666666666,226,63,SamsungSmartTV
45.0,SamsungSmartThingsHub,86,4817,86,0,4817,0,56.01162790697674,159,52,SamsungSmartThingsHub
45.0,Sonos,23,10632,11,12,9840,792,462.2608695652174,1500,52,Sonos
45.0,WithingsHome,3,444,2,1,263,181,148.0,211,52,WithingsHome
45.0,nVidiaShield,4,1094,1,3,40,1054,273.5,783,40,nVidiaShield
50.0,AmazonFireTV,1,52,1,0,52,0,52.0,52,52,AmazonFireTV
50.0,BelkinWeMoCrockpot,51,28757,30,21,22284,6473,563.8627450980392,1500,52,BelkinWeMoCrockpot
50.0,BelkinWeMoMotionSensor,2,168,2,0,168,0,84.0,84,84,BelkinWeMoMotionSensor
50.0,Canary,2,189,1,1,52,137,94.5,137,52,Canary
50.0,CasetaWirelessHub,2,152,1,1,76,76,76.0,76,76,CasetaWirelessHub
50.0,ChamberlainmyQGarageOpener,4,330,2,2,250,80,82.5,125,40,ChamberlainmyQGarageOpener
50.0,D-LinkDCS-5009LCamera,6,1349,6,0,1349,0,224.83333333333334,331,60,D-LinkDCS-5009LCamera
50.0,Gateway,4,642,4,0,642,0,160.5,390,84,Gateway
50.0,GoogleHome,15,1188,10,5,784,404,79.2,135,52,GoogleHome
50.0,HarmonKardonInvoke,3,1878,2,1,1357,521,626.0,1305,52,HarmonKardonInvoke
50.0,LogitechLogiCircle,188,137543,117,71,133851,3692,731.6117021276596,1500,52,LogitechLogiCircle
50.0,MiCasaVerdeVeraLite,11,4390,11,0,4390,0,399.09090909090907,437,349,MiCasaVerdeVeraLite
50.0,NetgearArloCamera,4,208,2,2,104,104,52.0,52,52,NetgearArloCamera
50.0,PhilipsHUEHub,77,12578,77,0,12578,0,163.35064935064935,345,52,PhilipsHUEHub
50.0,SamsungSmartTV,11,1660,11,0,1660,0,150.9090909090909,226,52,SamsungSmartTV
50.0,SamsungSmartThingsHub,62,3558,61,1,3451,107,57.38709677419355,159,52,SamsungSmartThingsHub
50.0,Sonos,21,8741,21,0,8741,0,416.23809523809524,444,364,Sonos
50.0,Wink2Hub,4,1235,4,0,1235,0,308.75,331,291,Wink2Hub
55.0,AmazonEchoGen1,2,364,2,0,364,0,182.0,187,177,AmazonEchoGen1
55.0,AmazonFireTV,3,312,3,0,312,0,104.0,177,52,AmazonFireTV
55.0,BelkinWeMoCrockpot,1,104,1,0,104,0,104.0,104,104,BelkinWeMoCrockpot
55.0,Canary,5,711,3,2,424,287,142.2,235,52,Canary
55.0,D-LinkDCS-5009LCamera,5,1289,5,0,1289,0,257.8,331,60,D-LinkDCS-5009LCamera
55.0,Gateway,2,188,2,0,188,0,94.0,104,84,Gateway
55.0,GoogleHome,11,888,6,5,424,464,80.72727272727273,156,52,GoogleHome
55.0,GoogleHomeMini,2,244,2,0,244,0,122.0,122,122,GoogleHomeMini
55.0,HarmonKardonInvoke,9,2324,5,4,1600,724,258.22222222222223,1305,52,HarmonKardonInvoke
55.0,LogitechLogiCircle,230,180677,144,86,176205,4472,785.5521739130435,1500,52,LogitechLogiCircle
55.0,MiCasaVerdeVeraLite,2,707,2,0,707,0,353.5,358,349,MiCasaVerdeVeraLite
55.0,PhilipsHUEHub,87,10277,87,0,10277,0,118.1264367816092,332,52,PhilipsHUEHub
55.0,PiperNV,3,350,2,1,203,147,116.66666666666667,151,52,PiperNV
55.0,RingDoorbell,19,1113,10,9,602,511,58.578947368421055,187,40,RingDoorbell
55.0,SamsungSmartTV,17,2708,17,0,2708,0,159.2941176470588,272,52,SamsungSmartTV
55.0,SamsungSmartThingsHub,88,5314,87,1,5215,99,60.38636363636363,398,52,SamsungSmartThingsHub
55.0,SecurifiAlmond,4,328,2,2,224,104,82.0,127,52,SecurifiAlmond
55.0,Wink2Hub,12,2023,8,4,1629,394,168.58333333333334,331,52,Wink2Hub
60.0,AmazonEchoGen1,4,242,2,2,121,121,60.5,81,40,AmazonEchoGen1
60.0,BelkinWeMoCrockpot,2,208,2,0,208,0,104.0,104,104,BelkinWeMoCrockpot
60.0,CasetaWirelessHub,2,168,1,1,84,84,84.0,84,84,CasetaWirelessHub
60.0,ChamberlainmyQGarageOpener,7,439,4,3,266,173,62.714285714285715,93,40,ChamberlainmyQGarageOpener
60.0,D-LinkDCS-5009LCamera,1,60,1,0,60,0,60.0,60,60,D-LinkDCS-5009LCamera
60.0,Gateway,3,292,3,0,292,0,97.33333333333333,104,84,Gateway
60.0,GoogleHomeMini,13,944,8,5,540,404,72.61538461538461,135,52,GoogleHomeMini
60.0,LogitechLogiCircle,189,142392,117,72,138648,3744,753.3968253968254,1500,52,LogitechLogiCircle
60.0,MiCasaVerdeVeraLite,9,3683,9,0,3683,0,409.22222222222223,437,358,MiCasaVerdeVeraLite
60.0,PhilipsHUEHub,64,7927,64,0,7927,0,123.859375,332,52,PhilipsHUEHub
60.0,Roomba,2,80,1,1,40,40,40.0,40,40,Roomba
60.0,SamsungSmartTV,11,2078,11,0,2078,0,188.9090909090909,272,52,SamsungSmartTV
60.0,SamsungSmartThingsHub,59,3298,59,0,3298,0,55.898305084745765,159,52,SamsungSmartThingsHub
60.0,SecurifiAlmond,1,84,1,0,84,0,84.0,84,84,SecurifiAlmond
60.0,Sonos,21,8741,21,0,8741,0,416.23809523809524,444,364,Sonos
65.0,AugustDoorbellCam,4,354,2,2,192,162,88.5,140,52,AugustDoorbellCam
65.0,D-LinkDCS-5009LCamera,1,60,1,0,60,0,60.0,60,60,D-LinkDCS-5009LCamera
65.0,Gateway,1,84,1,0,84,0,84.0,84,84,Gateway
65.0,GoogleHome,2,104,1,1,52,52,52.0,52,52,GoogleHome
65.0,GoogleHomeMini,9,784,5,4,372,412,87.11111111111111,156,60,GoogleHomeMini
65.0,HarmonKardonInvoke,3,416,2,1,194,222,138.66666666666666,222,52,HarmonKardonInvoke
65.0,LogitechLogiCircle,228,186386,143,85,181966,4420,817.4824561403509,1500,52,LogitechLogiCircle
65.0,PhilipsHUEHub,94,12565,94,0,12565,0,133.67021276595744,357,52,PhilipsHUEHub
65.0,RingDoorbell,19,1113,10,9,602,511,58.578947368421055,187,40,RingDoorbell
65.0,SamsungSmartTV,11,1887,11,0,1887,0,171.54545454545453,407,52,SamsungSmartTV
65.0,SamsungSmartThingsHub,89,5379,89,0,5379,0,60.438202247191015,159,52,SamsungSmartThingsHub
65.0,Wink2Hub,2,152,1,1,76,76,76.0,76,76,Wink2Hub
70.0,AmazonEchoGen1,2,115,1,1,52,63,57.5,63,52,AmazonEchoGen1
70.0,BelkinWeMoLink,1,84,1,0,84,0,84.0,84,84,BelkinWeMoLink
70.0,ChamberlainmyQGarageOpener,4,160,2,2,80,80,40.0,40,40,ChamberlainmyQGarageOpener
70.0,Gateway,1,84,1,0,84,0,84.0,84,84,Gateway
70.0,GoogleHome,2,104,1,1,52,52,52.0,52,52,GoogleHome
70.0,GoogleHomeMini,4,208,2,2,104,104,52.0,52,52,GoogleHomeMini
70.0,HarmonKardonInvoke,2,478,2,0,478,0,239.0,239,239,HarmonKardonInvoke
70.0,LogitechLogiCircle,202,158745,126,76,154793,3952,785.8663366336634,1500,52,LogitechLogiCircle
70.0,NetgearArloCamera,4,208,2,2,104,104,52.0,52,52,NetgearArloCamera
70.0,PhilipsHUEHub,74,11992,74,0,11992,0,162.05405405405406,332,52,PhilipsHUEHub
70.0,Roomba,2,80,1,1,40,40,40.0,40,40,Roomba
70.0,SamsungSmartTV,12,2280,12,0,2280,0,190.0,400,63,SamsungSmartTV
70.0,SamsungSmartThingsHub,61,3822,61,0,3822,0,62.65573770491803,159,52,SamsungSmartThingsHub
70.0,Sonos,3,1438,3,0,1438,0,479.3333333333333,586,426,Sonos
75.0,AmazonFireTV,3,208,3,0,208,0,69.33333333333333,78,52,AmazonFireTV
75.0,AugustDoorbellCam,27,10429,16,11,5969,4460,386.25925925925924,1500,52,AugustDoorbellCam
75.0,BelkinWeMoLink,2,168,2,0,168,0,84.0,84,84,BelkinWeMoLink
75.0,BelkinWeMoMotionSensor,1,427,1,0,427,0,427.0,427,427,BelkinWeMoMotionSensor
75.0,Canary,27,10533,16,11,3339,7194,390.1111111111111,1500,40,Canary
75.0,ChineseWebcam,2,101,1,1,53,48,50.5,53,48,ChineseWebcam
75.0,D-LinkDCS-5009LCamera,1,60,1,0,60,0,60.0,60,60,D-LinkDCS-5009LCamera
75.0,Gateway,5,835,5,0,835,0,167.0,350,84,Gateway
75.0,GoogleHome,2,219,1,1,72,147,109.5,147,72,GoogleHome
75.0,GoogleHomeMini,4,208,2,2,104,104,52.0,52,52,GoogleHomeMini
75.0,HarmonKardonInvoke,2,478,2,0,478,0,239.0,239,239,HarmonKardonInvoke
75.0,LogitechHarmonyHub,1,84,1,0,84,0,84.0,84,84,LogitechHarmonyHub
75.0,LogitechLogiCircle,229,181764,142,87,177240,4524,793.7292576419214,1500,52,LogitechLogiCircle
75.0,PhilipsHUEHub,129,19328,116,13,17556,1772,149.8294573643411,1173,40,PhilipsHUEHub
75.0,RingDoorbell,19,1113,10,9,602,511,58.578947368421055,187,40,RingDoorbell
75.0,SamsungSmartTV,6,1030,6,0,1030,0,171.66666666666666,226,63,SamsungSmartTV
75.0,SamsungSmartThingsHub,95,6171,94,1,5765,406,64.9578947368421,406,52,SamsungSmartThingsHub
75.0,Sonos,24,11054,12,12,10262,792,460.5833333333333,1500,52,Sonos
75.0,WithingsHome,3,444,2,1,263,181,148.0,211,52,WithingsHome
80.0,AmazonEchoGen1,2,364,2,0,364,0,182.0,187,177,AmazonEchoGen1
80.0,AmazonFireTV,1,116,1,0,116,0,116.0,116,116,AmazonFireTV
80.0,Canary,2,189,1,1,52,137,94.5,137,52,Canary
80.0,ChamberlainmyQGarageOpener,4,160,2,2,80,80,40.0,40,40,ChamberlainmyQGarageOpener
80.0,D-LinkDCS-5009LCamera,1,60,1,0,60,0,60.0,60,60,D-LinkDCS-5009LCamera
80.0,GoogleHome,11,961,6,5,511,450,87.36363636363636,147,52,GoogleHome
80.0,GoogleHomeMini,2,104,1,1,52,52,52.0,52,52,GoogleHomeMini
80.0,InsteonHub,2,152,1,1,76,76,76.0,76,76,InsteonHub
80.0,LogitechLogiCircle,194,139373,119,75,135473,3900,718.4175257731958,1500,52,LogitechLogiCircle
80.0,PhilipsHUEHub,77,11597,77,0,11597,0,150.6103896103896,332,52,PhilipsHUEHub
80.0,Roomba,2,80,1,1,40,40,40.0,40,40,Roomba
80.0,SamsungSmartTV,11,1660,11,0,1660,0,150.9090909090909,226,52,SamsungSmartTV
80.0,SamsungSmartThingsHub,64,3742,64,0,3742,0,58.46875,159,52,SamsungSmartThingsHub
85.0,AmazonEchoGen1,1,76,1,0,76,0,76.0,76,76,AmazonEchoGen1
85.0,AmazonFireTV,1,52,1,0,52,0,52.0,52,52,AmazonFireTV
85.0,BelkinWeMoCrockpot,2,264,2,0,264,0,132.0,132,132,BelkinWeMoCrockpot
85.0,Canary,5,711,3,2,424,287,142.2,235,52,Canary
85.0,CasetaWirelessHub,3,218,2,1,135,83,72.66666666666667,83,52,CasetaWirelessHub
85.0,Gateway,2,413,2,0,413,0,206.5,339,74,Gateway
85.0,GoogleHome,29,7423,15,14,5696,1727,255.9655172413793,1420,52,GoogleHome
85.0,GoogleHomeMini,7,638,4,3,387,251,91.14285714285714,147,52,GoogleHomeMini
85.0,HarmonKardonInvoke,3,1878,2,1,1357,521,626.0,1305,52,HarmonKardonInvoke
85.0,LogitechLogiCircle,210,170541,137,73,166745,3796,812.1,1500,52,LogitechLogiCircle
85.0,PhilipsHUEHub,93,10847,92,1,10807,40,116.63440860215054,332,40,PhilipsHUEHub
85.0,PiperNV,3,350,2,1,203,147,116.66666666666667,151,52,PiperNV
85.0,RingDoorbell,19,1113,10,9,602,511,58.578947368421055,187,40,RingDoorbell
85.0,SamsungSmartTV,42,11899,29,13,5714,6185,283.3095238095238,1500,40,SamsungSmartTV
85.0,SamsungSmartThingsHub,91,5181,90,1,5074,107,56.934065934065934,159,52,SamsungSmartThingsHub
85.0,Wink2Hub,3,342,1,2,137,205,114.0,153,52,Wink2Hub
90.0,AmazonEchoGen1,4,242,2,2,121,121,60.5,81,40,AmazonEchoGen1
90.0,ChamberlainmyQGarageOpener,4,160,2,2,80,80,40.0,40,40,ChamberlainmyQGarageOpener
90.0,HarmonKardonInvoke,4,1930,2,2,1357,573,482.5,1305,52,HarmonKardonInvoke
90.0,LogitechLogiCircle,206,149433,123,83,145117,4316,725.4029126213592,1500,52,LogitechLogiCircle
90.0,NetgearArloCamera,4,208,2,2,104,104,52.0,52,52,NetgearArloCamera
90.0,PhilipsHUEHub,61,7465,61,0,7465,0,122.37704918032787,332,52,PhilipsHUEHub
90.0,Roomba,2,80,1,1,40,40,40.0,40,40,Roomba
90.0,SamsungSmartTV,8,1482,8,0,1482,0,185.25,226,63,SamsungSmartTV
90.0,SamsungSmartThingsHub,58,3246,58,0,3246,0,55.96551724137931,159,52,SamsungSmartThingsHub
95.0,AmazonFireTV,4,312,4,0,312,0,78.0,78,78,AmazonFireTV
95.0,AugustDoorbellCam,3,302,2,1,192,110,100.66666666666667,140,52,AugustDoorbellCam
95.0,Canary,4,239,2,2,104,135,59.75,83,52,Canary
95.0,GoogleHome,24,4769,21,3,4558,211,198.70833333333334,401,52,GoogleHome
95.0,GoogleHomeMini,18,4338,18,0,4338,0,241.0,397,68,GoogleHomeMini
95.0,LogitechLogiCircle,193,140223,119,74,136375,3848,726.5440414507772,1500,52,LogitechLogiCircle
95.0,MiCasaVerdeVeraLite,5,356,3,2,172,184,71.2,92,40,MiCasaVerdeVeraLite
95.0,PhilipsHUEHub,91,9912,89,2,9826,86,108.92307692307692,281,40,PhilipsHUEHub
95.0,RingDoorbell,19,1113,10,9,602,511,58.578947368421055,187,40,RingDoorbell
95.0,SamsungSmartTV,8,1156,8,0,1156,0,144.5,226,63,SamsungSmartTV
95.0,SamsungSmartThingsHub,87,4869,87,0,4869,0,55.96551724137931,159,52,SamsungSmartThingsHub
95.0,nVidiaShield,16,5900,16,0,5900,0,368.75,572,98,nVidiaShield
100.0,AmazonEchoGen1,3,178,2,1,115,63,59.333333333333336,63,52,AmazonEchoGen1
100.0,ChamberlainmyQGarageOpener,4,160,2,2,80,80,40.0,40,40,ChamberlainmyQGarageOpener
100.0,GoogleHome,2,104,1,1,52,52,52.0,52,52,GoogleHome
100.0,HarmonKardonInvoke,3,1878,2,1,1357,521,626.0,1305,52,HarmonKardonInvoke
100.0,LogitechLogiCircle,225,174396,140,85,169976,4420,775.0933333333334,1500,52,LogitechLogiCircle
100.0,PhilipsHUEHub,63,7569,63,0,7569,0,120.14285714285714,332,52,PhilipsHUEHub
100.0,Roomba,2,80,1,1,40,40,40.0,40,40,Roomba
100.0,SamsungSmartTV,10,1608,10,0,1608,0,160.8,226,63,SamsungSmartTV
100.0,SamsungSmartThingsHub,60,3350,60,0,3350,0,55.833333333333336,159,52,SamsungSmartThingsHub
100.0,Sonos,25,11480,13,12,10688,792,459.2,1500,52,Sonos
105.0,AugustDoorbellCam,3,234,2,1,150,84,78.0,84,66,AugustDoorbellCam
105.0,ChineseWebcam,2,101,1,1,53,48,50.5,53,48,ChineseWebcam
105.0,Gateway,2,434,2,0,434,0,217.0,350,84,Gateway
105.0,HarmonKardonInvoke,3,1878,2,1,1357,521,626.0,1305,52,HarmonKardonInvoke
105.0,LogitechHarmonyHub,1,84,1,0,84,0,84.0,84,84,LogitechHarmonyHub
105.0,LogitechLogiCircle,192,138687,118,74,134839,3848,722.328125,1500,52,LogitechLogiCircle
